centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
KF600543.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus bataviensis,3409O2,16S ribosomal RNA,1257,"Bacillus bataviensis strain 3409O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
DQ339649.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-16,16S ribosomal RNA,906,"Bacillus cereus isolate BRL02-16 16S ribosomal RNA gene, partial sequence",4,"DQ339658.1: Bacillus cereus, DQ339679.1: Bacillus cereus, DQ339685.1: Bacillus cereus",Isolated from Apis mellifera.
DQ339650.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-17,16S ribosomal RNA,730,"Bacillus cereus isolate BRL02-17 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339653.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-21,16S ribosomal RNA,758,"Bacillus cereus isolate BRL02-21 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339654.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-22,16S ribosomal RNA,494,"Bacillus cereus isolate BRL02-22 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339657.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-25,16S ribosomal RNA,826,"Bacillus cereus isolate BRL02-25 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339662.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-30,16S ribosomal RNA,734,"Bacillus cereus isolate BRL02-30 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339663.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-31,16S ribosomal RNA,880,"Bacillus cereus isolate BRL02-31 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339665.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-33,16S ribosomal RNA,912,"Bacillus cereus isolate BRL02-33 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339669.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-39,16S ribosomal RNA,912,"Bacillus cereus isolate BRL02-39 16S ribosomal RNA gene, partial sequence",2,DQ339673.1: Bacillus cereus,Isolated from Apis mellifera.
DQ339670.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-40,16S ribosomal RNA,847,"Bacillus cereus isolate BRL02-40 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339671.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-41,16S ribosomal RNA,909,"Bacillus cereus isolate BRL02-41 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339674.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-43,16S ribosomal RNA,904,"Bacillus cereus isolate BRL02-43 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339684.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-61,16S ribosomal RNA,937,"Bacillus cereus isolate BRL02-61 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339694.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,BRL02-76,16S ribosomal RNA,748,"Bacillus cereus isolate BRL02-76 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
KP005456.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,m6c,16S ribosomal RNA,1490,"Bacillus cereus strain m6c 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692164.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML101A,16S ribosomal RNA,1488,"Bacillus cereus strain ML101A 16S ribosomal RNA gene, partial sequence",2,KF863866.1: Bacillus sp. hb73,Isolated from honey.
KC692193.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML208,16S ribosomal RNA,1490,"Bacillus cereus strain ML208 16S ribosomal RNA gene, partial sequence",6,"KF863832.1: Bacillus sp. hb32, KF863837.1: Bacillus sp. hb38, KF863867.1: Bacillus sp. hb75, KF863873.1: Bacillus sp. hb84, KF863874.1: Bacillus sp. hb85",Isolated from honey.
KC692199.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML254,16S ribosomal RNA,1484,"Bacillus cereus strain ML254 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692188.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML259,16S ribosomal RNA,1489,"Bacillus cereus strain ML259 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692161.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML267,16S ribosomal RNA,1490,"Bacillus cereus strain ML267 16S ribosomal RNA gene, partial sequence",8,"DQ339660.1: Bacillus cereus, DQ339675.1: Bacillus cereus, DQ339693.1: Bacillus cereus, KF863870.1: Bacillus sp. hb80, KF863880.1: Bacillus sp. hb91, KF863898.1: Bacillus sp. hb121, KF863903.1: Bacillus sp. RJ1",Isolated from honey.
KC692201.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,ML272,16S ribosomal RNA,1480,"Bacillus cereus strain ML272 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863807.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cf. cereus / thuringiensis*,hb7,16S ribosomal RNA,1514,"Bacillus sp. hb7 16S ribosomal RNA gene, partial sequence",31,"DQ339648.1: Bacillus cereus, DQ339655.1: Bacillus cereus, DQ339659.1: Bacillus cereus, DQ339661.1: Bacillus cereus, DQ339664.1: Bacillus cereus, DQ339680.1: Bacillus cereus, DQ339682.1: Bacillus cereus, DQ339692.1: Bacillus cereus, JF742968.1: Bacillus sp. EE-2, JF742977.1: Bacillus sp. U-6, KF598961.1: Bacillus sp. 3153O2, KF598965.1: Bacillus sp. 3157O2, KF598976.1: Bacillus cereus, KF599016.1: Bacillus sp. 3025O2, KF599019.1: Bacillus sp. 3028O2, KF599020.1: Bacillus sp. 3029O2, KF599027.1: Bacillus sp. 3037O2, KF599028.1: Bacillus sp. 3039O2, KF600285.1: Bacillus thuringiensis, KF600311.1: Bacillus sp. G7_2_5BCO2, KF600391.1: Bacillus cereus, KF600417.1: Bacillus thuringiensis, KF600526.1: Bacillus sp. 3384O2, KF863808.1: Bacillus sp. hb8, KJ638106.1: Bacillus cereus, KJ638113.1: Bacillus cereus, KJ741216.1: Bacillus sp. BO6, KJ746468.1: Bacillus thuringiensis, KJ746469.1: Bacillus thuringiensis, KP005455.1: Bacillus cereus",Isolated from honey. Cluster contains multiple sequences of both B. cereus and B. thuringiensis.
KF863805.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cf. subtilis / amyloliquefaciens*,hb5,16S ribosomal RNA,1513,"Bacillus sp. hb5(2014) 16S ribosomal RNA gene, partial sequence",83,"EU195330.1: Bacillus subtilis, JF742971.1: Bacillus sp. EE-5, JF742972.1: Bacillus sp. U-1, JF742978.1: Bacillus sp. U-7, KF598898.1: Bacillus amyloliquefaciens, KF598959.1: Bacillus subtilis, KF598960.1: Bacillus sp. 3152O2, KF598966.1: Bacillus sp. 3158O2, KF598967.1: Bacillus sp. 3159O2, KF598970.1: Bacillus subtilis, KF598974.1: Bacillus subtilis, KF598975.1: Bacillus subtilis, KF598995.1: Bacillus subtilis, KF598996.1: Bacillus subtilis, KF598997.1: Bacillus subtilis, KF598998.1: Bacillus subtilis, KF598999.1: Bacillus subtilis, KF599000.1: Bacillus subtilis, KF599002.1: Bacillus subtilis, KF599003.1: Bacillus subtilis, KF599008.1: Bacillus tequilensis, KF599009.1: Bacillus subtilis, KF599017.1: Bacillus subtilis, KF599018.1: Bacillus subtilis, KF599023.1: Bacillus sp. 3033O2, KF599026.1: Bacillus sp. 3036O2, KF599036.1: Bacillus subtilis, KF599038.1: Bacillus subtilis, KF599039.1: Bacillus subtilis, KF599048.1: Bacillus tequilensis, KF599049.1: Bacillus sp. 3064O2, KF599057.1: Bacillus subtilis, KF599064.1: Bacillus sp. 3080O2, KF599065.1: Bacillus subtilis, KF599067.1: Bacillus subtilis, KF599068.1: Bacillus subtilis, KF599071.1: Bacillus subtilis, KF599072.1: Bacillus subtilis, KF599074.1: Bacillus subtilis, KF599075.1: Bacillus subtilis, KF599077.1: Bacillus subtilis, KF599419.1: Bacillus subtilis, KF599420.1: Bacillus subtilis, KF600379.1: Bacillus subtilis, KF600392.1: Bacillus amyloliquefaciens, KF600412.1: Bacillus sp. B3_1_1TCO2, KF600498.1: Bacillus subtilis, KF710009.1: Bacillus subtilis, KF710010.1: Bacillus subtilis, KF710015.1: Bacillus amyloliquefaciens, KF710016.1: Bacillus amyloliquefaciens, KF710017.1: Bacillus amyloliquefaciens, KF710018.1: Bacillus subtilis, KF710020.1: Bacillus subtilis, KF710022.1: Bacillus subtilis, KF710026.1: Bacillus subtilis, KF710028.1: Bacillus amyloliquefaciens, KF710031.1: Bacillus amyloliquefaciens, KF863806.1: Bacillus sp. hb6, KF863900.1: Bacillus sp. hb123, KF863902.1: Bacillus sp. hb125, KF914406.1: Bacillus subtilis, KF914407.1: Bacillus subtilis, KJ638080.1: Bacillus amyloliquefaciens, KJ638087.1: Bacillus subtilis, KJ638091.1: Bacillus amyloliquefaciens, KJ638107.1: Bacillus subtilis, KJ638108.1: Bacillus subtilis, KJ638120.1: Bacillus subtilis, KJ741218.1: Bacillus sp. MO1, KJ746457.1: Bacillus amyloliquefaciens, KJ746459.1: Bacillus amyloliquefaciens, KJ746460.1: Bacillus sp. NRCD736, KJ746461.1: Bacillus sp. ACHSOC774, KJ746462.1: Bacillus sp. ACHSBC785, KJ746463.1: Bacillus sp. ACHSBC670, KJ746464.1: Bacillus sp. ACHSOC777, KJ746465.1: Bacillus subtilis, KJ746466.1: Bacillus subtilis, KJ746467.1: Bacillus subtilis, KP177515.1: Bacillus subtilis, KP177517.1: Bacillus subtilis",Isolated from honey. Cluster contains multiple sequences of both B. subtilis and B. amyloliquefaciens.
DQ339686.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus circulans,BRL02-64,16S ribosomal RNA,838,"Bacillus circulans isolate BRL02-64 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339687.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus flexus,BRL02-65,16S ribosomal RNA,846,"Bacillus flexus isolate BRL02-65 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339691.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus flexus,BRL02-69,16S ribosomal RNA,851,"Bacillus flexus isolate BRL02-69 16S ribosomal RNA gene, partial sequence",3,"DQ339688.1: Bacillus flexus, DQ339689.1: Bacillus flexus",Isolated from Apis mellifera.
KF600496.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus foraminis,3351O2,16S ribosomal RNA,1244,"Bacillus foraminis strain 3351O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600530.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,3389O2,16S ribosomal RNA,1267,"Bacillus licheniformis strain 3389O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KJ638105.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,AMHSOQ174,16S ribosomal RNA,1072,"Bacillus licheniformis strain AMHSOQ174 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera honey stomach.
KC692195.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,ML103A,16S ribosomal RNA,1484,"Bacillus licheniformis strain ML103A 16S ribosomal RNA gene, partial sequence",3,"KF863803.1: Bacillus sp. hb2, KF863815.1: Bacillus sp. hb15",Isolated from honey.
KC692185.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,ML104A,16S ribosomal RNA,1490,"Bacillus licheniformis strain ML104A 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692166.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus megaterium,ML258,16S ribosomal RNA,1489,"Bacillus megaterium strain ML258 16S ribosomal RNA gene, partial sequence",7,"KC692200.1: Bacillus megaterium, KF600132.1: Bacillus megaterium, KF600515.1: Bacillus sp. 3370O2, KF600573.1: Bacillus sp. 3452CO2, KF863804.1: Bacillus sp. hb3, KJ638088.1: Bacillus aryabhattai",Isolated from honey.
KC692202.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus megaterium,ML275,16S ribosomal RNA,1483,"Bacillus megaterium strain ML275 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692206.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus megaterium,ML479,16S ribosomal RNA,1484,"Bacillus megaterium strain ML479 16S ribosomal RNA gene, partial sequence",3,"KF600113.1: Bacillus flexus, KF710019.1: Bacillus megaterium",Isolated from honey.
KC692173.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus megaterium,ML482,16S ribosomal RNA,1489,"Bacillus megaterium strain ML482 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KJ746470.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus methylotrophicus,ACHSOC686,16S ribosomal RNA,1243,"Bacillus methylotrophicus strain ACHSOC686 16S ribosomal RNA gene, partial sequence",2,KF710029.1: Acinetobacter sp. AMHSOL272,Isolated from Apis cerana honey stomach.
DQ339647.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus niabensis,BRL02-13,16S ribosomal RNA,820,"Bacillus niabensis isolate BRL02-13 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
KF600536.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus niacini,3397O2,16S ribosomal RNA,1279,"Bacillus niacini strain 3397O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KC692196.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML105,16S ribosomal RNA,1483,"Bacillus pumilus strain ML105 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692172.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML211,16S ribosomal RNA,1484,"Bacillus pumilus strain ML211 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692165.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML252,16S ribosomal RNA,1473,"Bacillus pumilus strain ML252 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692162.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML256,16S ribosomal RNA,1489,"Bacillus pumilus strain ML256 16S ribosomal RNA gene, partial sequence",4,"KF863824.1: Bacillus sp. hb24, KF863847.1: Bacillus sp. hb49, KF863896.1: Bacillus sp. hb117",Isolated from honey.
KC692160.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML353,16S ribosomal RNA,1487,"Bacillus pumilus strain ML353 16S ribosomal RNA gene, partial sequence",3,"KC692175.1: Bacillus pumilus, KF863820.1: Bacillus sp. hb20",Isolated from honey.
KC692204.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML374,16S ribosomal RNA,1490,"Bacillus pumilus strain ML374 16S ribosomal RNA gene, partial sequence",5,"JF461088.1: Bacillus pumilus, JF742970.1: Bacillus sp. EE-4, JF742974.1: Bacillus sp. U-3, KF857270.1: Bacillus altitudinis",Isolated from honey.
KC692169.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML477,16S ribosomal RNA,1489,"Bacillus pumilus strain ML477 16S ribosomal RNA gene, partial sequence",2,KF361365.1: Bacillus pumilus,Isolated from honey.
KC692176.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML568,16S ribosomal RNA,1489,"Bacillus pumilus strain ML568 16S ribosomal RNA gene, partial sequence",2,KF863811.1: Bacillus sp. hb11,Isolated from honey.
KC692207.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,ML618,16S ribosomal RNA,1485,"Bacillus pumilus strain ML618 16S ribosomal RNA gene, partial sequence",2,KC692158.1: Bacillus pumilus,Isolated from honey.
KC692191.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus simplex,ML384,16S ribosomal RNA,1486,"Bacillus simplex strain ML384 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF600579.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 3459CO2,3459CO2,16S ribosomal RNA,1263,"Bacillus sp. 3459CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600588.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 3480CO2,3480CO2,16S ribosomal RNA,1065,"Bacillus sp. 3480CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
AJ971848.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. Am 08,Am 08,16S rRNA/16S ribosomal RNA,1409,"Bacillus sp. Am 08 partial 16S rRNA gene, isolate Am 08",1,,Isolated from gut of Apis mellifera.
AJ971851.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. Am 12,Am 12,16S rRNA/16S ribosomal RNA,1427,"Bacillus sp. Am 12 partial 16S rRNA gene, isolate Am 12",1,,Isolated from gut of Apis mellifera.
AJ971852.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. Am 13,Am 13,16S rRNA/16S ribosomal RNA,1385,"Bacillus sp. Am 13 partial 16S rRNA gene, isolate Am 13",1,,Isolated from gut of Apis mellifera.
KF600416.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. B3_2_1TCO2,B3_2_1TCO2,16S ribosomal RNA,1385,"Bacillus sp. B3_2_1TCO2 16S ribosomal RNA gene, partial sequence",4,"KF600414.1: Bacillus sp. B3_1TO2, KF600419.1: Bacillus sp. B3_2TCO2, KF600528.1: Bacillus endophyticus",Isolated from bee bread of Apis mellifera.
KF600420.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. B3_2TO2,B3_2TO2,16S ribosomal RNA,1251,"Bacillus sp. B3_2TO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KJ741214.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BO4,BO4,16S ribosomal RNA,1471,"Bacillus sp. BO4 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana gut.
KJ741215.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BO5,BO5,16S ribosomal RNA,1456,"Bacillus sp. BO5 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana gut.
KJ741217.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. BO7,BO7,16S ribosomal RNA,1477,"Bacillus sp. BO7 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana gut.
KF863810.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb10,hb10,16S ribosomal RNA,1449,"Bacillus sp. hb10 16S ribosomal RNA gene, partial sequence",2,DQ339690.1: Bacillus cereus,Isolated from honey.
KF863887.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb104(2014),hb104,16S ribosomal RNA,1436,"Bacillus sp. hb104(2014) 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863888.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb105,hb105,16S ribosomal RNA,1445,"Bacillus sp. hb105 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863890.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb111,hb111,16S ribosomal RNA,1450,"Bacillus sp. hb111 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863892.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb113,hb113,16S ribosomal RNA,1447,"Bacillus sp. hb113 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863895.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb116,hb116,16S ribosomal RNA,1451,"Bacillus sp. hb116 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863897.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb118,hb118,16S ribosomal RNA,1459,"Bacillus sp. hb118 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863812.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb12,hb12,16S ribosomal RNA,1434,"Bacillus sp. hb12 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863813.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb13,hb13,16S ribosomal RNA,1456,"Bacillus sp. hb13 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863814.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb14,hb14,16S ribosomal RNA,1443,"Bacillus sp. hb14 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863816.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb16,hb16,16S ribosomal RNA,1447,"Bacillus sp. hb16 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863817.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb17,hb17,16S ribosomal RNA,1442,"Bacillus sp. hb17 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863819.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb19,hb19,16S ribosomal RNA,1450,"Bacillus sp. hb19 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863821.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb21,hb21,16S ribosomal RNA,1458,"Bacillus sp. hb21 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863822.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb22,hb22,16S ribosomal RNA,1462,"Bacillus sp. hb22 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863825.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb25,hb25,16S ribosomal RNA,1453,"Bacillus sp. hb25 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863826.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb26,hb26,16S ribosomal RNA,1450,"Bacillus sp. hb26 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863827.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb27,hb27,16S ribosomal RNA,1457,"Bacillus sp. hb27 16S ribosomal RNA gene, partial sequence",4,"JF742973.1: Lysinibacillus sp. U-2, KF863818.1: Bacillus sp. hb18, KF863884.1: Bacillus sp. hb95",Isolated from honey.
KF863828.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb28,hb28,16S ribosomal RNA,1458,"Bacillus sp. hb28 16S ribosomal RNA gene, partial sequence",2,KF863830.1: Bacillus sp. hb30,Isolated from honey.
KF863829.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb29,hb29,16S ribosomal RNA,1454,"Bacillus sp. hb29 16S ribosomal RNA gene, partial sequence",2,KF863859.1: Bacillus sp. hb64,Isolated from honey.
KF863831.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb31,hb31,16S ribosomal RNA,1452,"Bacillus sp. hb31 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863834.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb35,hb35,16S ribosomal RNA,1456,"Bacillus sp. hb35 16S ribosomal RNA gene, partial sequence",2,KF863802.1: Bacillus sp. hb1(2014),Isolated from honey.
